U+3576: ň,ňg  # 㕶
U+68D3: bàng,bèi  # 棓

U+68F1: lēng,léng,líng  # 棱

U+6905: yī,yǐ  # 椅

U+6909: chéng,shèng  # 椉

U+690E: chuí,zhuī  # 椎

U+6911: bēi,pí  # 椑

U+6939: shèn,zhēn  # 椹

U+6942: chá,zhā  # 楂

U+695B: hù,kǔ  # 楛

U+696F: dùn,shǔn  # 楯

U+6977: jiē,kǎi  # 楷

U+699C: bǎng,bàng,péng  # 榜

U+69DB: jiàn,kǎn  # 槛

U+69DF: bīn,bīng  # 槟

U+6A02: lè,yuè  # 樂

U+6A05: cōng,zōng  # 樅

U+6A21: mó,mú  # 模

U+6A2A: héng,hèng  # 横

U+6A59: chén,chéng  # 橙

U+6A9C: guì,huì  # 檜

U+6AB3: bīn,bīng  # 檳

U+6ABB: jiàn,kǎn  # 檻

U+6ADF: lì,yuè  # 櫟

U+6B38: āi,ǎi,ēi,éi,ěi,èi  # 欸

U+6B3B: chuā,xū  # 欻

U+6B58: chuā,xū  # 歘

U+6B59: shè,xī  # 歙

U+6B63: zhēng,zhèng  # 正

U+6B96: shi,zhí  # 殖

U+6BB7: yān,yīn,yǐn  # 殷

U+6BC2: gū,gǔ  # 毂

U+6C0F: shì,zhī  # 氏

U+6C10: dī,dǐ  # 氐

U+6C13: máng,méng  # 氓

U+6C3E: fán,fàn  # 氾

U+6C3F: guǐ,jiǔ  # 氿

U+6C57: hán,hàn  # 汗

U+6C64: shāng,tāng  # 汤

U+6C88: chén,shěn  # 沈

U+6C8C: dùn,zhuàn  # 沌

U+6C93: dá,tà  # 沓

U+6C99: shā,shà  # 沙

U+6CA1: méi,mò  # 没

U+6CA4: ōu,òu  # 沤

U+6CAE: jǔ,jù  # 沮

U+6CBF: yán,yàn  # 沿

U+6CCA: bó,pō  # 泊

U+6CCC: bì,mì  # 泌

U+6CE1: pāo,pào  # 泡

U+6CE5: ní,nì  # 泥

U+6CF7: lóng,shuāng  # 泷

U+6CFA: luò,pō  # 泺

U+6D11: fú,fù  # 洑

U+6D12: sǎ,xǐ  # 洒

U+6D17: xǐ,xiǎn  # 洗

U+6D3E: pā,pài  # 派

U+6D45: jiān,qiǎn  # 浅

U+6D46: jiāng,jiàng  # 浆

U+6D4D: huì,kuài  # 浍

U+6D4E: jǐ,jì  # 济

U+6D52: hǔ,xǔ  # 浒

U+6D5A: jùn,xùn  # 浚

U+6D6C: hǎi,lǐ  # 浬

U+6D8C: chōng,yǒng  # 涌

U+6DA1: guō,wō  # 涡

U+6DA8: zhǎng,zhàng  # 涨

U+6DB4: wò,yuān  # 涴

U+6DBC: liáng,liàng  # 涼

U+6DCB: lín,lìn  # 淋

U+6DF7: hún,hùn  # 混

U+6DFA: jiān,qiǎn  # 淺

U+6E10: jiān,jiàn  # 渐

U+6E11: miǎn,shéng  # 渑

U+6E26: guō,wō  # 渦

U+6E51: xū,xǔ  # 湑

U+6E6B: jiǎo,qiū  # 湫

U+6E6E: yān,yīn  # 湮

U+6E6F: shāng,tāng  # 湯

U+6E83: huì,kuì  # 溃

U+6E85: jiān,jiàn  # 溅

U+6E9C: liū,liù  # 溜

U+6EB1: qín,zhēn  # 溱

U+6EBA: nì,niào  # 溺

U+6EC0: chù,xù  # 滀

U+6EC3: wēng,wěng  # 滃

U+6ECE: xíng,yíng  # 滎

U+6F02: piāo,piǎo,piào  # 漂

U+6F1A: ōu,òu  # 漚

U+6F2F: luò,tà  # 漯

U+6F32: zhǎng,zhàng  # 漲

U+6F66: lǎo,liǎo  # 潦

U+6F84: chéng,dèng  # 澄

U+6F8E: pēng,péng  # 澎

U+6FA0: miǎn,shéng  # 澠

U+6FAE: huì,kuài  # 澮

U+6FB9: dàn,tán  # 澹

U+6FDF: jǐ,jì  # 濟

U+6FEC: jùn,xùn  # 濬

U+7011: bào,pù  # 瀑

U+7027: lóng,shuāng  # 瀧

U+703C: ráng,ràng  # 瀼

U+7085: guì,jiǒng  # 炅

U+7094: guì,quē  # 炔

U+70AE: bāo,páo,pào  # 炮

U+70B8: zhá,zhà  # 炸

U+70BA: wéi,wèi  # 為

U+70CA: yáng,yàng  # 烊

U+70CF: wū,wù  # 烏

U+70D9: lào,luò  # 烙

U+70DF: yān,yīn  # 烟

U+710C: jùn,qū  # 焌

U+7118: dào,tāo  # 焘

U+7121: mó,wú  # 無

U+712F: chāo,zhuō  # 焯

U+7156: nuǎn,xuān  # 煖

U+715E: shā,shà  # 煞

U+7174: yūn,yùn  # 煴

U+718F: xūn,xùn  # 熏

U+719F: shóu,shú  # 熟

U+71A8: yù,yùn  # 熨

U+71AC: āo,áo  # 熬

U+71CE: liáo,liǎo  # 燎

U+71D5: yān,yàn  # 燕

U+71FE: dào,tāo  # 燾

U+722A: zhǎo,zhuǎ  # 爪

U+7232: wéi,wèi  # 爲

U+7236: fǔ,fù  # 父

U+7247: piān,piàn  # 片

U+725A: chēng,chèng  # 牚

U+725F: móu,mù  # 牟

U+728D: jiān,qián  # 犍

U+732B: māo,máo  # 猫

U+7387: lǜ,shuài  # 率

